episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-556.0,163
0,1,eval_idx15,-686.0,200
0,1,eval_idx16,-794.0,200
0,1,eval_idx17,-803.0,200
0,1,eval_idx18,-857.0,200
0,1,eval_idx19,-740.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-830.0,200
0,1,eval_idx22,-614.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-686.0,200
0,1,eval_idx27,-704.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-704.0,200
572,100000,eval_idx00,-659.0,200
572,100000,eval_idx01,-704.0,200
572,100000,eval_idx02,-749.0,200
572,100000,eval_idx03,-614.0,200
572,100000,eval_idx04,-484.0,154
572,100000,eval_idx05,-848.0,200
572,100000,eval_idx06,-713.0,200
572,100000,eval_idx07,-875.0,200
572,100000,eval_idx08,-776.0,200
572,100000,eval_idx09,-255.0,87
572,100000,eval_idx10,-236.0,86
572,100000,eval_idx11,-776.0,200
572,100000,eval_idx12,-564.0,171
572,100000,eval_idx13,-584.0,146
572,100000,eval_idx14,-403.0,127
572,100000,eval_idx15,-424.0,139
572,100000,eval_idx16,-704.0,200
572,100000,eval_idx17,-803.0,200
572,100000,eval_idx18,-713.0,200
572,100000,eval_idx19,-251.0,83
572,100000,eval_idx20,-648.0,183
572,100000,eval_idx21,-552.0,168
572,100000,eval_idx22,-508.0,151
572,100000,eval_idx23,-686.0,200
572,100000,eval_idx24,-812.0,194
572,100000,eval_idx25,-758.0,200
572,100000,eval_idx26,-320.0,80
572,100000,eval_idx27,-650.0,200
572,100000,eval_idx28,-643.0,178
572,100000,eval_idx29,-605.0,200
