episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-519.0,162
0,1,eval_idx15,-713.0,200
0,1,eval_idx16,-812.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-812.0,200
0,1,eval_idx19,-668.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-740.0,200
0,1,eval_idx22,-650.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-722.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-776.0,200
2118,50000,eval_idx00,11.0,10
2118,50000,eval_idx01,-5.0,17
2118,50000,eval_idx02,5.0,16
2118,50000,eval_idx03,6.0,15
2118,50000,eval_idx04,4.0,17
2118,50000,eval_idx05,-3.0,15
2118,50000,eval_idx06,-14.0,17
2118,50000,eval_idx07,9.0,12
2118,50000,eval_idx08,7.0,14
2118,50000,eval_idx09,6.0,15
2118,50000,eval_idx10,10.0,11
2118,50000,eval_idx11,8.0,13
2118,50000,eval_idx12,-7.0,19
2118,50000,eval_idx13,-4.0,16
2118,50000,eval_idx14,-9.0,21
2118,50000,eval_idx15,-13.0,16
2118,50000,eval_idx16,5.0,16
2118,50000,eval_idx17,4.0,17
2118,50000,eval_idx18,6.0,15
2118,50000,eval_idx19,1.0,20
2118,50000,eval_idx20,-3.0,15
2118,50000,eval_idx21,-4.0,16
2118,50000,eval_idx22,6.0,15
2118,50000,eval_idx23,-12.0,15
2118,50000,eval_idx24,4.0,17
2118,50000,eval_idx25,-13.0,16
2118,50000,eval_idx26,-1.0,13
2118,50000,eval_idx27,-14.0,17
2118,50000,eval_idx28,-13.0,16
2118,50000,eval_idx29,-6.0,18
