episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-519.0,162
0,1,eval_idx15,-713.0,200
0,1,eval_idx16,-812.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-812.0,200
0,1,eval_idx19,-668.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-740.0,200
0,1,eval_idx22,-650.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-722.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-776.0,200
32,6000,eval_idx00,-254.0,200
32,6000,eval_idx01,-245.0,200
32,6000,eval_idx02,-263.0,200
32,6000,eval_idx03,-776.0,200
32,6000,eval_idx04,-263.0,200
32,6000,eval_idx05,-245.0,200
32,6000,eval_idx06,-272.0,200
32,6000,eval_idx07,-290.0,200
32,6000,eval_idx08,-263.0,200
32,6000,eval_idx09,-749.0,200
32,6000,eval_idx10,-272.0,200
32,6000,eval_idx11,-641.0,200
32,6000,eval_idx12,-281.0,200
32,6000,eval_idx13,-254.0,200
32,6000,eval_idx14,-308.0,200
32,6000,eval_idx15,-245.0,200
32,6000,eval_idx16,-281.0,200
32,6000,eval_idx17,-704.0,200
32,6000,eval_idx18,-263.0,200
32,6000,eval_idx19,-162.0,138
32,6000,eval_idx20,-263.0,200
32,6000,eval_idx21,-254.0,200
32,6000,eval_idx22,-824.0,134
32,6000,eval_idx23,-245.0,200
32,6000,eval_idx24,-875.0,200
32,6000,eval_idx25,-236.0,200
32,6000,eval_idx26,-227.0,200
32,6000,eval_idx27,-281.0,200
32,6000,eval_idx28,-767.0,200
32,6000,eval_idx29,-884.0,200
