episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-722.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-767.0,200
0,1,eval_idx09,-785.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-857.0,200
0,1,eval_idx12,-125.0,47
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-695.0,200
0,1,eval_idx15,-803.0,200
0,1,eval_idx16,-875.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-875.0,200
0,1,eval_idx19,-713.0,200
0,1,eval_idx20,-848.0,200
0,1,eval_idx21,-884.0,200
0,1,eval_idx22,-578.0,200
0,1,eval_idx23,-803.0,200
0,1,eval_idx24,-785.0,200
0,1,eval_idx25,-776.0,200
0,1,eval_idx26,-695.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-848.0,200
0,1,eval_idx29,-848.0,200
1867,300000,eval_idx00,-165.0,69
1867,300000,eval_idx01,-551.0,200
1867,300000,eval_idx02,-812.0,200
1867,300000,eval_idx03,-409.0,160
1867,300000,eval_idx04,-533.0,200
1867,300000,eval_idx05,-434.0,200
1867,300000,eval_idx06,-452.0,200
1867,300000,eval_idx07,-461.0,200
1867,300000,eval_idx08,-488.0,200
1867,300000,eval_idx09,-497.0,200
1867,300000,eval_idx10,-341.0,146
1867,300000,eval_idx11,-587.0,200
1867,300000,eval_idx12,-542.0,200
1867,300000,eval_idx13,-470.0,200
1867,300000,eval_idx14,-89.0,38
1867,300000,eval_idx15,-497.0,200
1867,300000,eval_idx16,-401.0,170
1867,300000,eval_idx17,-533.0,200
1867,300000,eval_idx18,-155.0,68
1867,300000,eval_idx19,-57.0,33
1867,300000,eval_idx20,-266.0,107
1867,300000,eval_idx21,-488.0,200
1867,300000,eval_idx22,-623.0,200
1867,300000,eval_idx23,-506.0,200
1867,300000,eval_idx24,-93.0,69
1867,300000,eval_idx25,-560.0,200
1867,300000,eval_idx26,-470.0,200
1867,300000,eval_idx27,-374.0,143
1867,300000,eval_idx28,-461.0,200
1867,300000,eval_idx29,-452.0,200
