episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-519.0,162
0,1,eval_idx15,-713.0,200
0,1,eval_idx16,-812.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-812.0,200
0,1,eval_idx19,-668.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-740.0,200
0,1,eval_idx22,-650.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-722.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-776.0,200
1615,50000,eval_idx00,10.0,11
1615,50000,eval_idx01,-25.0,19
1615,50000,eval_idx02,5.0,16
1615,50000,eval_idx03,3.0,18
1615,50000,eval_idx04,3.0,18
1615,50000,eval_idx05,8.0,13
1615,50000,eval_idx06,7.0,14
1615,50000,eval_idx07,12.0,9
1615,50000,eval_idx08,11.0,10
1615,50000,eval_idx09,7.0,14
1615,50000,eval_idx10,-13.0,16
1615,50000,eval_idx11,2.0,19
1615,50000,eval_idx12,-34.0,28
1615,50000,eval_idx13,3.0,18
1615,50000,eval_idx14,12.0,9
1615,50000,eval_idx15,-6.0,18
1615,50000,eval_idx16,13.0,8
1615,50000,eval_idx17,-7.0,19
1615,50000,eval_idx18,-19.0,22
1615,50000,eval_idx19,-2.0,23
1615,50000,eval_idx20,-8.0,20
1615,50000,eval_idx21,-7.0,19
1615,50000,eval_idx22,7.0,14
1615,50000,eval_idx23,7.0,14
1615,50000,eval_idx24,8.0,13
1615,50000,eval_idx25,-3.0,15
1615,50000,eval_idx26,7.0,14
1615,50000,eval_idx27,6.0,15
1615,50000,eval_idx28,11.0,10
1615,50000,eval_idx29,11.0,10
