episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-519.0,162
0,1,eval_idx15,-713.0,200
0,1,eval_idx16,-812.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-812.0,200
0,1,eval_idx19,-668.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-740.0,200
0,1,eval_idx22,-650.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-722.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-776.0,200
1509,50000,eval_idx00,-2.0,14
1509,50000,eval_idx01,3.0,18
1509,50000,eval_idx02,-12.0,15
1509,50000,eval_idx03,-2.0,14
1509,50000,eval_idx04,-15.0,18
1509,50000,eval_idx05,-21.0,24
1509,50000,eval_idx06,0.0,21
1509,50000,eval_idx07,0.0,12
1509,50000,eval_idx08,2.0,10
1509,50000,eval_idx09,-10.0,22
1509,50000,eval_idx10,-5.0,17
1509,50000,eval_idx11,10.0,11
1509,50000,eval_idx12,-13.0,25
1509,50000,eval_idx13,12.0,9
1509,50000,eval_idx14,-5.0,17
1509,50000,eval_idx15,-2.0,14
1509,50000,eval_idx16,4.0,17
1509,50000,eval_idx17,4.0,17
1509,50000,eval_idx18,-6.0,18
1509,50000,eval_idx19,7.0,14
1509,50000,eval_idx20,6.0,15
1509,50000,eval_idx21,5.0,16
1509,50000,eval_idx22,-3.0,15
1509,50000,eval_idx23,2.0,19
1509,50000,eval_idx24,8.0,13
1509,50000,eval_idx25,8.0,13
1509,50000,eval_idx26,-1.0,22
1509,50000,eval_idx27,12.0,9
1509,50000,eval_idx28,7.0,14
1509,50000,eval_idx29,9.0,12
