episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-519.0,162
0,1,eval_idx15,-713.0,200
0,1,eval_idx16,-812.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-812.0,200
0,1,eval_idx19,-668.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-740.0,200
0,1,eval_idx22,-650.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-722.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-776.0,200
5000,111083,eval_idx00,10.0,11
5000,111083,eval_idx01,7.0,14
5000,111083,eval_idx02,-14.0,17
5000,111083,eval_idx03,10.0,11
5000,111083,eval_idx04,7.0,14
5000,111083,eval_idx05,11.0,10
5000,111083,eval_idx06,-8.0,20
5000,111083,eval_idx07,-8.0,20
5000,111083,eval_idx08,9.0,12
5000,111083,eval_idx09,5.0,16
5000,111083,eval_idx10,-6.0,18
5000,111083,eval_idx11,12.0,9
5000,111083,eval_idx12,2.0,19
5000,111083,eval_idx13,3.0,18
5000,111083,eval_idx14,5.0,16
5000,111083,eval_idx15,-14.0,17
5000,111083,eval_idx16,4.0,17
5000,111083,eval_idx17,0.0,21
5000,111083,eval_idx18,2.0,19
5000,111083,eval_idx19,-15.0,27
5000,111083,eval_idx20,-1.0,13
5000,111083,eval_idx21,-6.0,18
5000,111083,eval_idx22,-6.0,18
5000,111083,eval_idx23,11.0,10
5000,111083,eval_idx24,-8.0,20
5000,111083,eval_idx25,8.0,13
5000,111083,eval_idx26,10.0,11
5000,111083,eval_idx27,8.0,13
5000,111083,eval_idx28,10.0,11
5000,111083,eval_idx29,6.0,15
10000,186029,eval_idx00,11.0,10
10000,186029,eval_idx01,6.0,15
10000,186029,eval_idx02,6.0,15
10000,186029,eval_idx03,8.0,13
10000,186029,eval_idx04,6.0,15
10000,186029,eval_idx05,8.0,13
10000,186029,eval_idx06,11.0,10
10000,186029,eval_idx07,4.0,17
10000,186029,eval_idx08,12.0,9
10000,186029,eval_idx09,6.0,15
10000,186029,eval_idx10,4.0,17
10000,186029,eval_idx11,-17.0,20
10000,186029,eval_idx12,-15.0,18
10000,186029,eval_idx13,-10.0,22
10000,186029,eval_idx14,-13.0,16
10000,186029,eval_idx15,8.0,13
10000,186029,eval_idx16,3.0,18
10000,186029,eval_idx17,0.0,21
10000,186029,eval_idx18,-5.0,17
10000,186029,eval_idx19,6.0,15
10000,186029,eval_idx20,2.0,19
10000,186029,eval_idx21,5.0,16
10000,186029,eval_idx22,5.0,16
10000,186029,eval_idx23,9.0,12
10000,186029,eval_idx24,-4.0,16
10000,186029,eval_idx25,-13.0,16
10000,186029,eval_idx26,11.0,10
10000,186029,eval_idx27,-9.0,21
10000,186029,eval_idx28,-7.0,19
10000,186029,eval_idx29,13.0,8
10925,200000,eval_idx00,6.0,15
10925,200000,eval_idx01,3.0,18
10925,200000,eval_idx02,13.0,8
10925,200000,eval_idx03,-6.0,27
10925,200000,eval_idx04,9.0,12
10925,200000,eval_idx05,6.0,15
10925,200000,eval_idx06,-2.0,14
10925,200000,eval_idx07,2.0,10
10925,200000,eval_idx08,-16.0,19
10925,200000,eval_idx09,-4.0,16
10925,200000,eval_idx10,2.0,19
10925,200000,eval_idx11,6.0,15
10925,200000,eval_idx12,-18.0,21
10925,200000,eval_idx13,-6.0,18
10925,200000,eval_idx14,-5.0,17
10925,200000,eval_idx15,7.0,14
10925,200000,eval_idx16,-5.0,17
10925,200000,eval_idx17,7.0,14
10925,200000,eval_idx18,3.0,18
10925,200000,eval_idx19,4.0,17
10925,200000,eval_idx20,5.0,16
10925,200000,eval_idx21,-11.0,14
10925,200000,eval_idx22,-2.0,14
10925,200000,eval_idx23,5.0,16
10925,200000,eval_idx24,1.0,20
10925,200000,eval_idx25,11.0,10
10925,200000,eval_idx26,11.0,10
10925,200000,eval_idx27,3.0,18
10925,200000,eval_idx28,10.0,11
10925,200000,eval_idx29,5.0,16
