episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-519.0,162
0,1,eval_idx15,-713.0,200
0,1,eval_idx16,-812.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-812.0,200
0,1,eval_idx19,-668.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-740.0,200
0,1,eval_idx22,-650.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-722.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-776.0,200
121,20000,eval_idx00,-281.0,200
121,20000,eval_idx01,3.0,9
121,20000,eval_idx02,-299.0,200
121,20000,eval_idx03,6.0,15
121,20000,eval_idx04,-1037.0,200
121,20000,eval_idx05,-281.0,200
121,20000,eval_idx06,-308.0,200
121,20000,eval_idx07,-272.0,200
121,20000,eval_idx08,-7.0,19
121,20000,eval_idx09,-118.0,85
121,20000,eval_idx10,-272.0,200
121,20000,eval_idx11,-389.0,200
121,20000,eval_idx12,-209.0,200
121,20000,eval_idx13,-263.0,200
121,20000,eval_idx14,-299.0,200
121,20000,eval_idx15,-263.0,200
121,20000,eval_idx16,-236.0,200
121,20000,eval_idx17,-263.0,200
121,20000,eval_idx18,-290.0,200
121,20000,eval_idx19,-267.0,54
121,20000,eval_idx20,-227.0,200
121,20000,eval_idx21,-911.0,200
121,20000,eval_idx22,-245.0,200
121,20000,eval_idx23,-11.0,32
121,20000,eval_idx24,-335.0,200
121,20000,eval_idx25,-290.0,200
121,20000,eval_idx26,-236.0,200
121,20000,eval_idx27,9.0,12
121,20000,eval_idx28,-245.0,200
121,20000,eval_idx29,1.0,20
