episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-519.0,162
0,1,eval_idx15,-713.0,200
0,1,eval_idx16,-812.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-812.0,200
0,1,eval_idx19,-668.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-740.0,200
0,1,eval_idx22,-650.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-722.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-776.0,200
5000,111083,eval_idx00,10.0,11
5000,111083,eval_idx01,7.0,14
5000,111083,eval_idx02,-14.0,17
5000,111083,eval_idx03,10.0,11
5000,111083,eval_idx04,7.0,14
5000,111083,eval_idx05,11.0,10
5000,111083,eval_idx06,-8.0,20
5000,111083,eval_idx07,-8.0,20
5000,111083,eval_idx08,9.0,12
5000,111083,eval_idx09,5.0,16
5000,111083,eval_idx10,-6.0,18
5000,111083,eval_idx11,12.0,9
5000,111083,eval_idx12,2.0,19
5000,111083,eval_idx13,3.0,18
5000,111083,eval_idx14,5.0,16
5000,111083,eval_idx15,-14.0,17
5000,111083,eval_idx16,4.0,17
5000,111083,eval_idx17,0.0,21
5000,111083,eval_idx18,2.0,19
5000,111083,eval_idx19,-15.0,27
5000,111083,eval_idx20,-1.0,13
5000,111083,eval_idx21,-6.0,18
5000,111083,eval_idx22,-6.0,18
5000,111083,eval_idx23,11.0,10
5000,111083,eval_idx24,-8.0,20
5000,111083,eval_idx25,8.0,13
5000,111083,eval_idx26,10.0,11
5000,111083,eval_idx27,8.0,13
5000,111083,eval_idx28,10.0,11
5000,111083,eval_idx29,6.0,15
10000,185799,eval_idx00,-2.0,14
10000,185799,eval_idx01,-34.0,19
10000,185799,eval_idx02,13.0,8
10000,185799,eval_idx03,2.0,19
10000,185799,eval_idx04,5.0,16
10000,185799,eval_idx05,6.0,15
10000,185799,eval_idx06,-8.0,11
10000,185799,eval_idx07,8.0,13
10000,185799,eval_idx08,-8.0,20
10000,185799,eval_idx09,14.0,7
10000,185799,eval_idx10,7.0,14
10000,185799,eval_idx11,0.0,12
10000,185799,eval_idx12,7.0,14
10000,185799,eval_idx13,-25.0,19
10000,185799,eval_idx14,-39.0,24
10000,185799,eval_idx15,6.0,15
10000,185799,eval_idx16,8.0,13
10000,185799,eval_idx17,11.0,10
10000,185799,eval_idx18,-7.0,19
10000,185799,eval_idx19,6.0,15
10000,185799,eval_idx20,10.0,11
10000,185799,eval_idx21,7.0,14
10000,185799,eval_idx22,5.0,16
10000,185799,eval_idx23,0.0,12
10000,185799,eval_idx24,11.0,10
10000,185799,eval_idx25,6.0,15
10000,185799,eval_idx26,3.0,18
10000,185799,eval_idx27,5.0,16
10000,185799,eval_idx28,11.0,10
10000,185799,eval_idx29,9.0,12
10953,200000,eval_idx00,7.0,14
10953,200000,eval_idx01,6.0,15
10953,200000,eval_idx02,7.0,14
10953,200000,eval_idx03,6.0,15
10953,200000,eval_idx04,12.0,9
10953,200000,eval_idx05,7.0,14
10953,200000,eval_idx06,10.0,11
10953,200000,eval_idx07,11.0,10
10953,200000,eval_idx08,4.0,17
10953,200000,eval_idx09,9.0,12
10953,200000,eval_idx10,0.0,12
10953,200000,eval_idx11,-1.0,13
10953,200000,eval_idx12,-17.0,20
10953,200000,eval_idx13,-4.0,16
10953,200000,eval_idx14,6.0,15
10953,200000,eval_idx15,3.0,18
10953,200000,eval_idx16,-14.0,17
10953,200000,eval_idx17,7.0,14
10953,200000,eval_idx18,-6.0,18
10953,200000,eval_idx19,-9.0,21
10953,200000,eval_idx20,10.0,11
10953,200000,eval_idx21,-8.0,20
10953,200000,eval_idx22,-9.0,21
10953,200000,eval_idx23,7.0,14
10953,200000,eval_idx24,6.0,15
10953,200000,eval_idx25,-13.0,16
10953,200000,eval_idx26,-3.0,15
10953,200000,eval_idx27,2.0,19
10953,200000,eval_idx28,7.0,14
10953,200000,eval_idx29,-2.0,14
