episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-722.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-767.0,200
0,1,eval_idx09,-785.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-857.0,200
0,1,eval_idx12,-125.0,47
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-695.0,200
0,1,eval_idx15,-803.0,200
0,1,eval_idx16,-875.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-875.0,200
0,1,eval_idx19,-713.0,200
0,1,eval_idx20,-848.0,200
0,1,eval_idx21,-884.0,200
0,1,eval_idx22,-578.0,200
0,1,eval_idx23,-803.0,200
0,1,eval_idx24,-785.0,200
0,1,eval_idx25,-776.0,200
0,1,eval_idx26,-695.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-848.0,200
0,1,eval_idx29,-848.0,200
3942,300000,eval_idx00,-80.0,29
3942,300000,eval_idx01,-26.0,20
3942,300000,eval_idx02,-452.0,200
3942,300000,eval_idx03,-11.0,14
3942,300000,eval_idx04,-132.0,54
3942,300000,eval_idx05,-63.0,30
3942,300000,eval_idx06,-64.0,31
3942,300000,eval_idx07,-17.0,20
3942,300000,eval_idx08,-62.0,38
3942,300000,eval_idx09,-84.0,51
3942,300000,eval_idx10,-1190.0,200
3942,300000,eval_idx11,-40.0,25
3942,300000,eval_idx12,-35.0,29
3942,300000,eval_idx13,-23.0,26
3942,300000,eval_idx14,-12.0,15
3942,300000,eval_idx15,-38.0,32
3942,300000,eval_idx16,-66.0,33
3942,300000,eval_idx17,-43.0,28
3942,300000,eval_idx18,-53.0,38
3942,300000,eval_idx19,-169.0,64
3942,300000,eval_idx20,-10.0,31
3942,300000,eval_idx21,-26.0,29
3942,300000,eval_idx22,-32.0,26
3942,300000,eval_idx23,-60.0,36
3942,300000,eval_idx24,-83.0,41
3942,300000,eval_idx25,-53.0,29
3942,300000,eval_idx26,-99.0,57
3942,300000,eval_idx27,4.0,17
3942,300000,eval_idx28,-100.0,58
3942,300000,eval_idx29,-51.0,27
