episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-722.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-767.0,200
0,1,eval_idx09,-785.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-857.0,200
0,1,eval_idx12,-125.0,47
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-695.0,200
0,1,eval_idx15,-803.0,200
0,1,eval_idx16,-875.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-875.0,200
0,1,eval_idx19,-713.0,200
0,1,eval_idx20,-848.0,200
0,1,eval_idx21,-884.0,200
0,1,eval_idx22,-578.0,200
0,1,eval_idx23,-803.0,200
0,1,eval_idx24,-785.0,200
0,1,eval_idx25,-776.0,200
0,1,eval_idx26,-695.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-848.0,200
0,1,eval_idx29,-848.0,200
5000,570868,eval_idx00,-67.0,34
5000,570868,eval_idx01,-120.0,69
5000,570868,eval_idx02,-122.0,53
5000,570868,eval_idx03,-1091.0,200
5000,570868,eval_idx04,-180.0,57
5000,570868,eval_idx05,-461.0,200
5000,570868,eval_idx06,-39.0,24
5000,570868,eval_idx07,-46.0,22
5000,570868,eval_idx08,-64.0,40
5000,570868,eval_idx09,-266.0,134
5000,570868,eval_idx10,2.0,10
5000,570868,eval_idx11,-470.0,200
5000,570868,eval_idx12,-97.0,64
5000,570868,eval_idx13,-127.0,67
5000,570868,eval_idx14,-404.0,146
5000,570868,eval_idx15,-461.0,200
5000,570868,eval_idx16,-4.0,16
5000,570868,eval_idx17,-64.0,40
5000,570868,eval_idx18,-425.0,200
5000,570868,eval_idx19,-127.0,49
5000,570868,eval_idx20,1.0,20
5000,570868,eval_idx21,-20.0,23
5000,570868,eval_idx22,-488.0,200
5000,570868,eval_idx23,-524.0,200
5000,570868,eval_idx24,-434.0,185
5000,570868,eval_idx25,-161.0,65
5000,570868,eval_idx26,-52.0,37
5000,570868,eval_idx27,-94.0,43
5000,570868,eval_idx28,-78.0,54
5000,570868,eval_idx29,-95.0,44
10000,864746,eval_idx00,-2.0,14
10000,864746,eval_idx01,-28.0,31
10000,864746,eval_idx02,-551.0,200
10000,864746,eval_idx03,-416.0,200
10000,864746,eval_idx04,-16.0,19
10000,864746,eval_idx05,-36.0,21
10000,864746,eval_idx06,-147.0,60
10000,864746,eval_idx07,-47.0,32
10000,864746,eval_idx08,-1136.0,200
10000,864746,eval_idx09,-201.0,78
10000,864746,eval_idx10,-103.0,43
10000,864746,eval_idx11,-38.0,23
10000,864746,eval_idx12,-17.0,20
10000,864746,eval_idx13,-17.0,29
10000,864746,eval_idx14,-69.0,36
10000,864746,eval_idx15,-129.0,69
10000,864746,eval_idx16,-560.0,200
10000,864746,eval_idx17,-54.0,30
10000,864746,eval_idx18,-104.0,44
10000,864746,eval_idx19,-82.0,40
10000,864746,eval_idx20,-83.0,41
10000,864746,eval_idx21,-13.0,16
10000,864746,eval_idx22,-524.0,200
10000,864746,eval_idx23,-71.0,29
10000,864746,eval_idx24,-42.0,27
10000,864746,eval_idx25,-141.0,45
10000,864746,eval_idx26,-19.0,22
10000,864746,eval_idx27,-28.0,22
10000,864746,eval_idx28,-133.0,55
10000,864746,eval_idx29,-67.0,43
12399,1000000,eval_idx00,-2.0,14
12399,1000000,eval_idx01,-64.0,31
12399,1000000,eval_idx02,-506.0,200
12399,1000000,eval_idx03,-479.0,200
12399,1000000,eval_idx04,-76.0,34
12399,1000000,eval_idx05,-63.0,30
12399,1000000,eval_idx06,-1082.0,200
12399,1000000,eval_idx07,-13.0,16
12399,1000000,eval_idx08,-28.0,31
12399,1000000,eval_idx09,-59.0,26
12399,1000000,eval_idx10,-18.0,21
12399,1000000,eval_idx11,-1217.0,200
12399,1000000,eval_idx12,-17.0,20
12399,1000000,eval_idx13,-206.0,83
12399,1000000,eval_idx14,-97.0,73
12399,1000000,eval_idx15,-139.0,61
12399,1000000,eval_idx16,-113.0,53
12399,1000000,eval_idx17,-7.0,19
12399,1000000,eval_idx18,-138.0,60
12399,1000000,eval_idx19,-37.0,31
12399,1000000,eval_idx20,2.0,19
12399,1000000,eval_idx21,-60.0,36
12399,1000000,eval_idx22,-75.0,33
12399,1000000,eval_idx23,-30.0,24
12399,1000000,eval_idx24,-39.0,24
12399,1000000,eval_idx25,-29.0,23
12399,1000000,eval_idx26,-101.0,41
12399,1000000,eval_idx27,-15.0,18
12399,1000000,eval_idx28,-116.0,83
12399,1000000,eval_idx29,-127.0,49
