episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-519.0,162
0,1,eval_idx15,-713.0,200
0,1,eval_idx16,-812.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-812.0,200
0,1,eval_idx19,-668.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-740.0,200
0,1,eval_idx22,-650.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-722.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-776.0,200
36,6000,eval_idx00,-875.0,200
36,6000,eval_idx01,-263.0,200
36,6000,eval_idx02,-43.0,28
36,6000,eval_idx03,-1.0,13
36,6000,eval_idx04,-740.0,200
36,6000,eval_idx05,-686.0,200
36,6000,eval_idx06,-254.0,200
36,6000,eval_idx07,-306.0,48
36,6000,eval_idx08,-254.0,200
36,6000,eval_idx09,-281.0,200
36,6000,eval_idx10,-380.0,200
36,6000,eval_idx11,-62.0,38
36,6000,eval_idx12,-290.0,200
36,6000,eval_idx13,-866.0,200
36,6000,eval_idx14,7.0,14
36,6000,eval_idx15,-245.0,200
36,6000,eval_idx16,8.0,13
36,6000,eval_idx17,-158.0,53
36,6000,eval_idx18,-1334.0,200
36,6000,eval_idx19,-272.0,200
36,6000,eval_idx20,-281.0,200
36,6000,eval_idx21,-641.0,200
36,6000,eval_idx22,-902.0,200
36,6000,eval_idx23,8.0,13
36,6000,eval_idx24,-938.0,200
36,6000,eval_idx25,-488.0,200
36,6000,eval_idx26,-1082.0,200
36,6000,eval_idx27,-290.0,200
36,6000,eval_idx28,6.0,15
36,6000,eval_idx29,-695.0,200
