episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-519.0,162
0,1,eval_idx15,-713.0,200
0,1,eval_idx16,-812.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-812.0,200
0,1,eval_idx19,-668.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-740.0,200
0,1,eval_idx22,-650.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-722.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-776.0,200
1271,50000,eval_idx00,-14.0,17
1271,50000,eval_idx01,6.0,15
1271,50000,eval_idx02,9.0,12
1271,50000,eval_idx03,4.0,17
1271,50000,eval_idx04,-19.0,22
1271,50000,eval_idx05,0.0,21
1271,50000,eval_idx06,-1.0,22
1271,50000,eval_idx07,12.0,9
1271,50000,eval_idx08,-13.0,16
1271,50000,eval_idx09,-27.0,21
1271,50000,eval_idx10,-9.0,21
1271,50000,eval_idx11,4.0,17
1271,50000,eval_idx12,1.0,20
1271,50000,eval_idx13,-5.0,17
1271,50000,eval_idx14,-38.0,50
1271,50000,eval_idx15,10.0,11
1271,50000,eval_idx16,-9.0,21
1271,50000,eval_idx17,7.0,14
1271,50000,eval_idx18,-22.0,16
1271,50000,eval_idx19,4.0,17
1271,50000,eval_idx20,4.0,17
1271,50000,eval_idx21,1.0,20
1271,50000,eval_idx22,11.0,10
1271,50000,eval_idx23,-30.0,24
1271,50000,eval_idx24,-39.0,33
1271,50000,eval_idx25,5.0,16
1271,50000,eval_idx26,-12.0,24
1271,50000,eval_idx27,8.0,13
1271,50000,eval_idx28,-7.0,19
1271,50000,eval_idx29,9.0,12
